Country,count,longitude,latitude
United States,16745,-95.712891,37.09024
China,13303,104.195397,35.86166
United Kingdom,4869,-3.435973,55.378051
Australia,4355,133.775136,-25.274398
Germany,3698,10.451526,51.165691
Canada,2850,-106.346771,56.130366
Spain,2706,-3.74922,40.463667
India,2641,78.96288,20.593684
Italy,2482,12.56738,41.87194
France,2000,2.213749,46.227638
Brazil,1818,-51.92528,-14.235004
Netherlands Antilles,1246,-69.060087,12.226079
Japan,1179,138.252924,36.204824
Switzerland,1132,8.227512,46.818188
South Korea,1107,127.766922,35.907757
Portugal,966,-8.224454,39.399872
South Africa,935,22.937506,-30.559482
Sweden,898,18.643501,60.128161
Iran,866,53.688046,32.427908
Turkey,778,35.243322,38.963745
Mexico,717,-102.552784,23.634501
Poland,600,19.145136,51.919438
Finland,553,25.748151,61.92411
Austria,553,14.550072,47.516231
Belgium,550,4.469936,50.503887
Norway,547,8.468946,60.472024
Denmark,516,9.501785,56.26392
New Zealand,496,174.885971,-40.900557
Greece,489,21.824312,39.074208
Pakistan,483,69.345116,30.375321
Chile,463,-71.542969,-35.675147
Czech Republic,420,15.472962,49.817492
Malaysia,414,101.975766,4.210484
Argentina,340,-63.616672,-38.416097
Russia,327,105.318756,61.52401
Romania,322,24.96676,45.943161
Israel,290,34.851612,31.046051
Hungary,284,19.503304,47.162494
Indonesia,277,113.921327,-0.789275
Egypt,262,30.802498,26.820553
Thailand,229,100.992541,15.870032
Ireland,228,-8.24389,53.41291
Vietnam,226,108.277199,14.058324
Singapore,209,103.819836,1.352083
Bangladesh,206,90.356331,23.684994
Ethiopia,206,40.489673,9.145
Saudi Arabia,201,45.079162,23.885942
Colombia,201,-74.297333,4.570868
Morocco,157,-7.09262,31.791702
Nigeria,142,8.675277,9.081999
Kenya,141,37.906193,-0.023559
Philippines,128,121.774017,12.879721
Slovakia,116,19.699024,48.669026
Croatia,110,15.2,45.1
Lithuania,108,23.881275,55.169438
Serbia,108,21.005859,44.016521
Tunisia,104,9.537499,33.886917
Nepal,103,84.124008,28.394857
Ghana,99,-1.023194,7.946527
Algeria,92,1.659626,28.033886
Estonia,89,25.013607,58.595272
Peru,87,-75.015152,-9.189967
Slovenia,71,14.995463,46.151241
Ireland,67,-8.24389,53.41291
United Arab Emirates,67,53.847818,23.424076
Ecuador,67,-78.183406,-1.831239
Sri Lanka,56,80.771797,7.873054
Costa Rica,55,-83.753428,9.748917
Qatar,54,51.183884,25.354826
Iraq,53,43.679291,33.223191
Tanzania,50,34.888822,-6.369028
Cyprus,49,33.429859,35.126413
Bulgaria,47,25.48583,42.733883
Panama,40,-80.782127,8.537981
Zimbabwe,39,29.154857,-19.015438
Oman,38,55.923255,21.512583
Lebanon,37,35.862285,33.854721
Jordan,36,36.238414,30.585164
Botswana,35,24.684866,-22.328474
Cameroon,34,12.354722,7.369722
Senegal,34,-14.452362,14.497401
Uganda,33,32.290275,1.373333
Iceland,33,-19.020835,64.963051
Uruguay,31,-55.765835,-32.522779
Benin,26,2.315834,9.30769
Venezuela,24,-66.58973,6.42375
Latvia,24,24.603189,56.879635
New Caledonia,24,165.618042,-20.904305
Monaco,24,7.412841,43.750298
