Country,count,longitude,latitude
China,10332,104.195397,35.86166
United States,5676,-95.712891,37.09024
United Kingdom,3057,-3.435973,55.378051
India,2294,78.96288,20.593684
Germany,2154,10.451526,51.165691
Australia,1626,133.775136,-25.274398
Italy,1298,12.56738,41.87194
Canada,1299,-106.346771,56.130366
Spain,1164,-3.74922,40.463667
South Korea,1013,127.766922,35.907757
Japan,1012,138.252924,36.204824
Turkey,992,35.243322,38.963745
Netherlands,962,5.291266,52.132633
Sweden,761,18.643501,60.128161
Iran,728,53.688046,32.427908
France,730,2.213749,46.227638
Norway,632,8.468946,60.472024
Poland,632,19.145136,51.919438
Malaysia,608,101.975766,4.210484
Finland,598,25.748151,61.92411
Brazil,563,-51.92528,-14.235004
Romania,499,24.96676,45.943161
Switzerland,499,8.227512,46.818188
South Africa,486,22.937506,-30.559482
Denmark,468,9.501785,56.26392
Pakistan,450,69.345116,30.375321
Austria,430,14.550072,47.516231
Portugal,423,-8.224454,39.399872
Greece,420,21.824312,39.074208
Saudi Arabia,396,45.079162,23.885942
Indonesia,355,113.921327,-0.789275
Belgium,308,4.469936,50.503887
Egypt,300,30.802498,26.820553
Thailand,243,100.992541,15.870032
Mexico,242,-102.552784,23.634501
Singapore,229,103.819836,1.352083
Russia,224,105.318756,61.52401
Bangladesh,223,90.356331,23.684994
Ireland,223,-8.24389,53.41291
Vietnam,196,108.277199,14.058324
Nigeria,179,8.675277,9.081999
Czech Republic,174,15.472962,49.817492
New Zealand,169,174.885971,-40.900557
United Arab Emirates,167,53.847818,23.424076
Tunisia,154,9.537499,33.886917
Lithuania,149,23.881275,55.169438
Hungary,138,19.503304,47.162494
Colombia,135,-74.297333,4.570868
Croatia,129,15.2,45.1
Chile,124,-71.542969,-35.675147
Ethiopia,109,40.489673,9.145
Morocco,103,-7.09262,31.791702
Qatar,99,51.183884,25.354826
Serbia,95,21.005859,44.016521
Slovakia,90,19.699024,48.669026
Ghana,86,-1.023194,7.946527
Israel,85,34.851612,31.046051
Latvia,85,24.603189,56.879635
Algeria,85,1.659626,28.033886
Philippines,76,121.774017,12.879721
Jordan,74,36.238414,30.585164
Kenya,70,37.906193,-0.023559
Lebanon,68,35.862285,33.854721
Ukraine,61,31.16558,48.379433
