author Country,count,longitude,latitude
Afghanistan,5,67.709953,33.93911
Albania,12,20.168331,41.153332
Algeria,199,1.659626,28.033886
Andorra,1,1.601554,42.546245
Angola,2,17.873887,-11.202692
Argentina,466,-63.616672,-38.416097
Armenia,15,45.038189,40.069099
Australia,7831,133.775136,-25.274398
Austria,1199,14.550072,47.516231
Azerbaijan,37,47.576927,40.143105
Bahamas,6,-77.39628,25.03428
Bahrain,27,50.637772,25.930414
Bangladesh,636,90.356331,23.684994
Barbados,20,-59.543198,13.193887
Belarus,7,27.953389,53.709807
Belgium,1050,4.469936,50.503887
Belize,2,-88.49765,17.189877
Benin,83,2.315834,9.30769
Bermuda,3,-64.75737,32.321384
Bhutan,15,90.433601,27.514162
Bolivia,19,-63.588653,-16.290154
Bosnia and Herzegovina,40,17.679076,43.915886
Botswana,74,24.684866,-22.328474
Brazil,2718,-51.92528,-14.235004
Brunei,24,114.727669,4.535277
Bulgaria,106,25.48583,42.733883
Burkina Faso,54,-1.561593,12.238333
Burundi,2,29.918886,-3.373056
Cambodia,20,104.990963,12.565679
Cameroon,123,12.354722,7.369722
Canada,5295,-106.346771,56.130366
Cape Verde,5,-24.013197,16.002082
Cent Afr Republ,1,20.939444,6.611111
Chile,707,-71.542969,-35.675147
China,25993,104.195397,35.86166
Colombia,435,-74.297333,4.570868
Congo,19,15.827659,-0.228021
Cook Islands,1,-159.777671,-21.236736
Costa Rica,89,-83.753428,9.748917
Croatia,266,15.2,45.1
Cuba,33,-77.781167,21.521757
Cyprus,124,33.429859,35.126413
Czech Republic,706,15.472962,49.817492
C?te d'Ivoire,36,-5.54708,7.539989
Denmark,1174,9.501785,56.26392
Djibouti,1,42.590275,11.825138
Dominican Republic,5,-70.162651,18.735693
Ecuador,158,-78.183406,-1.831239
Egypt,626,30.802498,26.820553
El Salvador,5,-88.89653,13.794185
Equatorial Guinea,1,10.267895,1.650801
Eritrea,3,39.782334,15.179384
Estonia,142,25.013607,58.595272
Eswatini,1,31.47384796,-26.53068276
Ethiopia,620,40.489673,9.145
Fiji,53,179.414413,-16.578193
Finland,1320,25.748151,61.92411
France,3289,2.213749,46.227638
French Guiana,12,-53.125782,3.933889
Gabon,2,11.609444,-0.803689
Gambia,7,-15.310139,13.443182
Georgia,15,43.356892,42.315407
Germany,7184,10.451526,51.165691
Ghana,401,-1.023194,7.946527
Greece,1081,21.824312,39.074208
Greenland,5,-42.604303,71.706936
Grenada,2,-61.604171,12.262776
Guatemala,5,-90.230759,15.783471
Guinea,3,-9.696645,9.945587
Guinea-Bissau,1,-15.180413,11.803749
Guyana,2,-58.93018,4.860416
Haiti,1,-72.285215,18.971187
Honduras,2,-86.241905,15.199999
Hungary,508,19.503304,47.162494
Iceland,76,-19.020835,64.963051
India,5973,78.96288,20.593684
Indonesia,823,113.921327,-0.789275
Iran,1816,53.688046,32.427908
Iraq,96,43.679291,33.223191
Ireland,640,-8.24389,53.41291
Israel,420,34.851612,31.046051
Italy,4775,12.56738,41.87194
Jamaica,32,-77.297508,18.109581
Japan,2499,138.252924,36.204824
Jordan,121,36.238414,30.585164
Kazakhstan,61,66.923684,48.019573
Kenya,363,37.906193,-0.023559
Kosovo,7,20.902977,42.602636
Kuwait,48,47.481766,29.31166
Kyrgyzstan,11,74.766098,41.20438
Laos,10,102.495496,19.85627
Latvia,127,24.603189,56.879635
Lebanon,122,35.862285,33.854721
Lesotho,7,28.233608,-29.609988
Liberia,2,-9.429499,6.428055
Libya,4,17.228331,26.3351
Lithuania,276,23.881275,55.169438
Luxembourg,45,6.129583,49.815273
Madagascar,14,46.869107,-18.766947
Malawi,36,34.301525,-13.254308
Malaysia,1148,101.975766,4.210484
Maldives,3,73.22068,3.202778
Mali,24,-3.996166,17.570692
Malta,23,14.375416,35.937496
Mauritania,1,-10.940835,21.00789
Mauritius,26,57.552152,-20.348404
Mexico,1142,-102.552784,23.634501
Micronesia,1,150.550812,7.425554
Moldova,11,28.369885,47.411631
Monaco,34,7.412841,43.750298
Mongolia,16,103.846656,46.862496
Montenegro,14,19.37439,42.708678
Morocco,302,-7.09262,31.791702
Mozambique,21,35.529562,-18.665695
Myanmar,13,95.956223,21.913965
Namibia,16,18.49041,-22.95764
Nepal,213,84.124008,28.394857
Netherlands,1852,5.291266,52.132633
Netherlands Antilles,1248,-69.060087,12.226079
New Caledonia,30,165.618042,-20.904305
New Zealand,854,174.885971,-40.900557
Nicaragua,4,-85.207229,12.865416
Niger,14,8.081666,17.607789
Nigeria,499,8.675277,9.081999
North Korea,1,127.510093,40.339852
North Macedonia,22,21.745275,41.608635
Norway,1486,8.468946,60.472024
Oman,94,55.923255,21.512583
Pakistan,1075,69.345116,30.375321
Palau,1,134.58252,7.51498
Palestine,21,34.65558741,31.84459798
Panama,50,-80.782127,8.537981
Papua New Guinea,2,143.95555,-6.314993
Paraguay,2,-58.443832,-23.442503
Peru,173,-75.015152,-9.189967
Philippines,307,121.774017,12.879721
Poland,1430,19.145136,51.919438
Portugal,1665,-8.224454,39.399872
Qatar,168,51.183884,25.354826
Romania,905,24.96676,45.943161
Russia,661,105.318756,61.52401
Rwanda,32,29.873888,-1.940278
Saint Lucia,1,-60.978893,13.909444
Samoa,2,-172.104629,-13.759029
Saudi Arabia,654,45.079162,23.885942
Senegal,59,-14.452362,14.497401
Serbia,250,21.005859,44.016521
Seychelles,6,55.491977,-4.679574
Sierra Leone,7,-11.779889,8.460555
Singapore,516,103.819836,1.352083
Slovakia,217,19.699024,48.669026
Slovenia,150,14.995463,46.151241
Solomon Islands,2,160.156194,-9.64571
Somalia,13,46.199616,5.152149
South Africa,1955,22.937506,-30.559482
South Korea,2349,127.766922,35.907757
Spain,4627,-3.74922,40.463667
Sri Lanka,133,80.771797,7.873054
Sudan,13,30.217636,12.862807
Suriname,2,-56.027783,3.919305
Swaziland,1,31.465866,-26.522503
Sweden,2163,18.643501,60.128161
Switzerland,1928,8.227512,46.818188
Syria,17,38.996815,34.802075
Tajikistan,3,71.276093,38.861034
Tanzania,146,34.888822,-6.369028
Thailand,650,100.992541,15.870032
Timor-Leste,2,125.727539,-8.874217
Togo,29,0.824782,8.619543
Tonga,1,-175.198242,-21.178986
Trinidad and Tobago,47,-61.222503,10.691803
Tunisia,289,9.537499,33.886917
Turkey,1892,35.243322,38.963745
Uganda,105,32.290275,1.373333
Ukraine,115,31.16558,48.379433
United Arab Emirates,262,53.847818,23.424076
United Kingdom,9692,-3.435973,55.378051
United States,27112,-95.712891,37.09024
Uruguay,57,-55.765835,-32.522779
Uzbekistan,39,64.585262,41.377491
Vanuatu,4,166.959158,-15.376706
Venezuela,35,-66.58973,6.42375
Vietnam,564,108.277199,14.058324
Yemen,7,48.516388,15.552727
Zambia,33,27.849332,-13.133897
Zimbabwe,103,29.154857,-19.015438
