research country,count,longitude,latitude,文献百分比,增量占比（极端高温人口）
India,4966,78.96288,20.593684,5.084207832,23.39221052
China,16432,104.195397,35.86166,16.82313796,12.30210432
Nigeria,640,8.675277,9.081999,0.655234195,4.600350602
Brazil,2840,-51.92528,-14.235004,2.90760174,4.548019925
United States,12109,-95.712891,37.09024,12.39723573,4.104437396
Pakistan,1261,69.345116,30.375321,1.291016125,3.324770027
Mexico,1385,-102.552784,23.634501,1.41796775,3.15191922
Ethiopia,1062,40.489673,9.145,1.087279242,2.234775946
Indonesia,1378,113.921327,-0.789275,1.410801126,2.076276022
Iran,505,53.688046,32.427908,0.517020732,1.940246953
Bangladesh,1282,90.356331,23.684994,1.312515997,1.821968134
Japan,1380,138.252924,36.204824,1.412848733,1.772444727
Turkey,575,35.243322,38.963745,0.588686972,1.684324695
Vietnam,524,108.277199,14.058324,0.536472997,1.373839721
Egypt,498,30.802498,26.820553,0.509854108,1.184691619
Colombia,573,-74.297333,4.570868,0.586639365,1.009913352
South Africa,1587,22.937506,-30.559482,1.624776043,0.933950208
Philippines,515,121.774017,12.879721,0.527258766,0.919629092
Saudi Arabia,359,45.079162,23.885942,0.367545431,0.90948414
Ghana,748,-1.023194,7.946527,0.765804965,0.886331148
Thailand,673,100.992541,15.870032,0.689019708,0.875834109
South Korea,596,127.766922,35.907757,0.610186844,0.746668721
Yemen,40,48.516388,15.552727,0.040952137,0.741903014
Myanmar,198,95.956223,21.913965,0.202713079,0.739096184
Iraq,143,43.679291,33.223191,0.14640389,0.730701877
Malaysia,747,101.975766,4.210484,0.764781162,0.692304208
Venezuela,32,-66.58973,6.42375,0.03276171,0.66358076
Canada,3066,-106.346771,56.130366,3.138981316,0.594989416
United Kingdom,2761,-3.435973,55.378051,2.82672127,0.575382314
Russia,647,105.318756,61.52401,0.662400819,0.570996794
