research country,count,longitude,latitude,文献百分比,增量占比（极端高温人口）
China,16432,104.195397,35.86166,16.82313796,12.30210432
United States,12109,-95.712891,37.09024,12.39723573,4.104437396
India,4966,78.96288,20.593684,5.084207832,23.39221052
Australia,3848,133.775136,-25.274398,3.939595598,0.241666418
Canada,3066,-106.346771,56.130366,3.138981316,0.594989416
Brazil,2840,-51.92528,-14.235004,2.90760174,4.548019925
United Kingdom,2761,-3.435973,55.378051,2.82672127,0.575382314
Germany,2486,10.451526,51.165691,2.545175326,0.444303701
Italy,2360,12.56738,41.87194,2.416176094,0.451794318
Spain,2206,-3.74922,40.463667,2.258510366,0.537194063
France,1750,2.213749,46.227638,1.791656002,0.403497463
South Africa,1587,22.937506,-30.559482,1.624776043,0.933950208
Mexico,1385,-102.552784,23.634501,1.41796775,3.15191922
Japan,1380,138.252924,36.204824,1.412848733,1.772444727
Indonesia,1378,113.921327,-0.789275,1.410801126,2.076276022
Bangladesh,1282,90.356331,23.684994,1.312515997,1.821968134
Pakistan,1261,69.345116,30.375321,1.291016125,3.324770027
Ethiopia,1062,40.489673,9.145,1.087279242,2.234775946
Sweden,1000,18.643501,60.128161,1.02380343,0.082630446
Netherlands,946,5.291266,52.132633,0.968518045,0.1414513
Portugal,887,-8.224454,39.399872,0.908113642,0.106216526
Poland,834,19.145136,51.919438,0.85385206,0.078735022
Denmark,794,9.501785,56.26392,0.812899923,0.044858398
Norway,786,8.468946,60.472024,0.804709496,0.031621907
Ghana,748,-1.023194,7.946527,0.765804965,0.886331148
Finland,748,25.748151,61.92411,0.765804965,0.027694849
Malaysia,747,101.975766,4.210484,0.764781162,0.692304208
Greece,746,21.824312,39.074208,0.763757359,0.082356621
Kenya,701,37.906193,-0.023559,0.717686204,0.54130527
Chile,676,-71.542969,-35.675147,0.692091119,0.268670019
