research country,count,longitude,latitude
China,8465,104.195397,35.86166
United States,5734,-95.712891,37.09024
India,2227,78.96288,20.593684
Australia,1978,133.775136,-25.274398
Brazil,1627,-51.92528,-14.235004
Canada,1440,-106.346771,56.130366
Spain,1142,-3.74922,40.463667
Italy,1046,12.56738,41.87194
United Kingdom,770,-3.435973,55.378051
Mexico,757,-102.552784,23.634501
France,756,2.213749,46.227638
Germany,737,10.451526,51.165691
South Africa,640,22.937506,-30.559482
Pakistan,618,69.345116,30.375321
Bangladesh,523,90.356331,23.684994
Indonesia,514,113.921327,-0.789275
Japan,483,138.252924,36.204824
Portugal,476,-8.224454,39.399872
Ethiopia,422,40.489673,9.145
Chile,383,-71.542969,-35.675147
Greece,351,21.824312,39.074208
Malaysia,312,101.975766,4.210484
Switzerland,311,8.227512,46.818188
Poland,301,19.145136,51.919438
Thailand,288,100.992541,15.870032
Kenya,287,37.906193,-0.023559
New Zealand,286,174.885971,-40.900557
Peru,281,-75.015152,-9.189967
Argentina,274,-63.616672,-38.416097
Swede,265,18.643501,60.128161
Nepal,261,84.124008,28.394857
Finland,253,25.748151,61.92411
Colombia,244,-74.297333,4.570868
Egypt,243,30.802498,26.820553
Netherlands,242,5.291266,52.132633
Morocco,240,-7.09262,31.791702
Romania,235,24.96676,45.943161
Norway,213,8.468946,60.472024
Philippines,206,121.774017,12.879721
Ghana,201,-1.023194,7.946527
Nigeria,179,8.675277,9.081999
Austria,175,14.550072,47.516231
Mongolia,168,103.846656,46.862496
Ecuador,167,-78.183406,-1.831239
Greenland,154,-42.604303,71.706936
Hungary,144,19.503304,47.162494
Tunisia,143,9.537499,33.886917
Denmark,140,9.501785,56.26392
Madagascar,140,46.869107,-18.766947
Algeria,139,1.659626,28.033886
Uganda,136,32.290275,1.373333
Ireland,134,-8.24389,53.41291
Puerto Rico,124,-66.590149,18.220833
Cambodia,119,104.990963,12.565679
Saudi Arabia,118,45.079162,23.885942
Malawi,115,34.301525,-13.254308
Israel,113,34.851612,31.046051
Kazakhstan,113,66.923684,48.019573
Sri Lanka,111,80.771797,7.873054
Belgium,111,4.469936,50.503887
Iraq,101,43.679291,33.223191
Costa Rica,101,-83.753428,9.748917
Myanmar,99,95.956223,21.913965
Zimbabwe,96,29.154857,-19.015438
Mozambique,96,35.529562,-18.665695
Croatia,89,15.2,45.1
Lithuania,86,23.881275,55.169438
Congo,86,15.827659,-0.228021
Uzbekistan,84,64.585262,41.377491
Ukraine,83,31.16558,48.379433
Zambia,82,27.849332,-13.133897
Afghanistan,80,67.709953,33.93911
Serbia,79,21.005859,44.016521
Cameroon,78,12.354722,7.369722
Senegal,76,-14.452362,14.497401
Burkina Faso,76,-1.561593,12.238333
Slovakia,72,19.699024,48.669026
Bulgaria,68,25.48583,42.733883
Botswana,68,24.684866,-22.328474
Jordan,65,36.238414,30.585164
Kyrgyzstan,65,74.766098,41.20438
Namibia,65,18.49041,-22.95764
Estonia,64,25.013607,58.595272
Iceland,60,-19.020835,64.963051
Bhutan,60,90.433601,27.514162
Sudan,58,30.217636,12.862807
Tajikistan,58,71.276093,38.861034
Cyprus,58,33.429859,35.126413
Papua New Guinea,57,143.95555,-6.314993
Slovenia,57,14.995463,46.151241
French Polynesia,55,-149.406843,-17.679742
Benin,53,2.315834,9.30769
Singapore,52,103.819836,1.352083
Lebanon,52,35.862285,33.854721
Panama,50,-80.782127,8.537981
United Arab Emirates,48,53.847818,23.424076
Cuba,48,-77.781167,21.521757
Qatar,47,51.183884,25.354826
Antarctica,46,-0.071389,-75.250973
Oman,45,55.923255,21.512583
Niger,43,8.081666,17.607789
Rwanda,42,29.873888,-1.940278
Turkmenistan,41,59.556278,38.969719
Latvia,41,24.603189,56.879635
Honduras,40,-86.241905,15.199999
Guatemala,40,-90.230759,15.783471
Belize,39,-88.49765,17.189877
Fiji,38,179.414413,-16.578193
Somalia,37,46.199616,5.152149
Mali,37,-3.996166,17.570692
French Guiana,35,-53.125782,3.933889
Bahamas,35,-77.39628,25.03428
Uruguay,34,-55.765835,-32.522779
Guinea,33,-9.696645,9.945587
Paraguay,33,-58.443832,-23.442503
Togo,30,0.824782,8.619543
Maldives,29,73.22068,3.202778
Kuwait,29,47.481766,29.31166
Georgia,28,43.356892,42.315407
Angola,28,17.873887,-11.202692
Turkey,28,35.243322,38.963745
New Caledonia,26,165.618042,-20.904305
Jamaica,25,-77.297508,18.109581
Bahrain,25,50.637772,25.930414
Marshall Islands,24,171.184478,7.131474
Mauritania,23,-10.940835,21.00789
Yemen,22,48.516388,15.552727
Lesotho,21,28.233608,-29.609988
Mauritius,21,57.552152,-20.348404
Libya,20,17.228331,26.3351
Nicaragua,20,-85.207229,12.865416
Palau,20,134.58252,7.51498
Albania,20,20.168331,41.153332
Guyana,20,-58.93018,4.860416
Azerbaijan,19,47.576927,40.143105
El Salvador,19,-88.89653,13.794185
Armenia,19,45.038189,40.069099
Solomon Islands,18,160.156194,-9.64571
South Sudan,18,30.41374381,7.066917502
Malta,18,14.375416,35.937496
Tuvalu,18,177.64933,-7.109535
Gabon,18,11.609444,-0.803689
Dominican Republic,17,-70.162651,18.735693
Vanuatu,17,166.959158,-15.376706
Seychelles,16,55.491977,-4.679574
Bosnia and Herzegovina,16,17.679076,43.915886
Chad,15,18.732207,15.454166
Sierra Leone,15,-11.779889,8.460555
Kiribati,14,-168.734039,-3.370417
Eritrea,14,39.782334,15.179384
Luxembourg,14,6.129583,49.815273
Haiti,13,-72.285215,18.971187
Djibouti,13,42.590275,11.825138
Trinidad and Tobago,13,-61.222503,10.691803
Suriname,12,-56.027783,3.919305
Czech Republic,12,15.472962,49.817492
Barbados,12,-59.543198,13.193887
Russia,11,105.318756,61.52401
