research country,count,longitude,latitude
Afghanistan,127,67.709953,33.93911
Albania,35,20.168331,41.153332
Algeria,262,1.659626,28.033886
American Samoa,3,-170.132217,-14.270972
Andorra,12,1.601554,42.546245
Angola,59,17.873887,-11.202692
Anguilla,4,-63.068615,18.220554
Antarctica,47,-0.071389,-75.250973
Antigua and Barbuda,16,-61.796428,17.060816
Argentina,478,-63.616672,-38.416097
Armenia,30,45.038189,40.069099
Australia,3848,133.775136,-25.274398
Austria,454,14.550072,47.516231
Azerbaijan,37,47.576927,40.143105
Bahamas,54,-77.39628,25.03428
Bahrain,63,50.637772,25.930414
Bangladesh,1282,90.356331,23.684994
Barbados,32,-59.543198,13.193887
Belarus,21,27.953389,53.709807
Belgium,311,4.469936,50.503887
Belize,64,-88.49765,17.189877
Benin,124,2.315834,9.30769
Bermuda,10,-64.75737,32.321384
Bhutan,124,90.433601,27.514162
Bolivia,74,-63.588653,-16.290154
Bosnia and Herzegovina,46,17.679076,43.915886
Botswana,129,24.684866,-22.328474
Brazil,2840,-51.92528,-14.235004
Brunei,38,114.727669,4.535277
Bulgaria,175,25.48583,42.733883
Burkina Faso,174,-1.561593,12.238333
Burundi,29,29.918886,-3.373056
Cabo Verde,1,-23.59021561,15.00665825
Cambodia,249,104.990963,12.565679
Cameroon,220,12.354722,7.369722
Canada,3066,-106.346771,56.130366
Cape Verde,26,-24.013197,16.002082
Cayman Islands,8,-80.566956,19.513469
Central African Republic,29,20.939444,6.611111
Chad,32,18.732207,15.454166
Chile,676,-71.542969,-35.675147
China,16432,104.195397,35.86166
Cocos (Keeling) Islands,1,96.870956,-12.164165
Colombia,573,-74.297333,4.570868
Comoros,14,43.872219,-11.875001
Congo,172,15.827659,-0.228021
Cook Islands,16,-159.777671,-21.236736
Costa Rica,190,-83.753428,9.748917
Croatia,232,15.2,45.1
Cuba,94,-77.781167,21.521757
Cyprus,138,33.429859,35.126413
Czech Republic,211,15.472962,49.817492
C?te d'Ivoire,43,-5.54708,7.539989
Denmark,638,9.501785,56.26392
Djibouti,19,42.590275,11.825138
Dominica,23,-61.370976,15.414999
Dominican Republic,43,-70.162651,18.735693
Ecuador,338,-78.183406,-1.831239
Egypt,498,30.802498,26.820553
El Salvador,47,-88.89653,13.794185
Equatorial Guinea,21,10.267895,1.650801
Eritrea,26,39.782334,15.179384
Estonia,148,25.013607,58.595272
Eswatini,23,31.45605115,-26.42799586
Ethiopia,1062,40.489673,9.145
Falkland Islands,1,-58.75972168,-51.56688386
Faroe Islands,3,-6.911806,61.892635
Fiji,126,179.414413,-16.578193
Finland,748,25.748151,61.92411
France,1712,2.213749,46.227638
French Guiana,38,-53.125782,3.933889
French Polynesia,55,-149.406843,-17.679742
