research country,count,longitude,latitude
China,6127,104.195397,35.86166
United States,3501,-95.712891,37.09024
India,1597,78.96288,20.593684
United Kingdom,1315,-3.435973,55.378051
Germany,1228,10.451526,51.165691
Canada,882,-106.346771,56.130366
Australia,831,133.775136,-25.274398
Brazil,808,-51.92528,-14.235004
Japan,734,138.252924,36.204824
Italy,719,12.56738,41.87194
France,599,2.213749,46.227638
Indonesia,570,113.921327,-0.789275
Spain,566,-3.74922,40.463667
South Africa,540,22.937506,-30.559482
Russia,491,105.318756,61.52401
South Korea,457,127.766922,35.907757
Sweden,446,18.643501,60.128161
Turkey,437,35.243322,38.963745
Poland,384,19.145136,51.919438
Norway,372,8.468946,60.472024
Finland,364,25.748151,61.92411
Denmark,346,9.501785,56.26392
Pakistan,345,69.345116,30.375321
Malaysia,343,101.975766,4.210484
Mexico,336,-102.552784,23.634501
Netherlands,325,5.291266,52.132633
Greece,267,21.824312,39.074208
Iran,266,53.688046,32.427908
Portugal,227,-8.224454,39.399872
Bangladesh,224,90.356331,23.684994
Saudi Arabia,217,45.079162,23.885942
Thailand,214,100.992541,15.870032
Romania,212,24.96676,45.943161
Nigeria,204,8.675277,9.081999
Vietnam,195,108.277199,14.058324
Ireland,189,-8.24389,53.41291
Switzerland,178,8.227512,46.818188
Colombia,177,-74.297333,4.570868
Egypt,165,30.802498,26.820553
Austria,174,14.550072,47.516231
Ghana,156,-1.023194,7.946527
Philippines,145,121.774017,12.879721
Ethiopia,143,40.489673,9.145
Chile,131,-71.542969,-35.675147
Morocco,128,-7.09262,31.791702
Belgium,126,4.469936,50.503887
Ukraine,123,31.16558,48.379433
Lithuania,122,23.881275,55.169438
New Zealand,121,174.885971,-40.900557
Czech Republic,121,15.472962,49.817492
Kenya,120,37.906193,-0.023559
Hungary,119,19.503304,47.162494
Peru,119,-75.015152,-9.189967
Nepal,115,84.124008,28.394857
Croatia,112,15.2,45.1
Latvia,106,24.603189,56.879635
Argentina,99,-63.616672,-38.416097
United Arab Emirates,96,53.847818,23.424076
Singapore,96,103.819836,1.352083
Tanzania,90,34.888822,-6.369028
Slovakia,89,19.699024,48.669026
Ecuador,81,-78.183406,-1.831239
Algeria,80,1.659626,28.033886
Tunisia,77,9.537499,33.886917
Jordan,76,36.238414,30.585164
Bulgaria,75,25.48583,42.733883
Sri Lanka,72,80.771797,7.873054
Estonia,72,25.013607,58.595272
Slovenia,71,14.995463,46.151241
Serbia,71,21.005859,44.016521
Iceland,70,-19.020835,64.963051
Cameroon,69,12.354722,7.369722
Cambodia,60,104.990963,12.565679
Qatar,53,51.183884,25.354826
Laos,53,102.495496,19.85627
Uganda,53,32.290275,1.373333
Myanmar,51,95.956223,21.913965
Israel,51,34.851612,31.046051
Luxembourg,48,6.129583,49.815273
Cyprus,46,33.429859,35.126413
Oman,44,55.923255,21.512583
Costa Rica,43,-83.753428,9.748917
Kazakhstan,42,66.923684,48.019573
Zambia,40,27.849332,-13.133897
Malta,40,14.375416,35.937496
Kuwait,40,47.481766,29.31166
Congo,54,15.827659,-0.228021
Zimbabwe,35,29.154857,-19.015438
Bahrain,33,50.637772,25.930414
Senegal,32,-14.452362,14.497401
Rwanda,32,29.873888,-1.940278
Madagascar,32,46.869107,-18.766947
