Country Name,科研人数（每百万）,总人口/百万,科研人数,count,人均文献数量,longitude,latitude
Angola,33.63377476,14.7028889,494.5136537,2,0.004044378,17.873887,-11.202692
Albania,157.6003265,2.713095778,427.5847805,12,0.02806461,20.168331,41.153332
United Arab Emirates,2481.414876,3.259965048,8089.325765,262,0.032388361,53.847818,23.424076
Argentina,1003.033542,33.07580411,33176.14097,466,0.014046239,-63.616672,-38.416097
Armenia,1219.933228,2.947058905,3595.215081,15,0.004172212,45.038189,40.069099
Australia,3928.929321,17.48851929,68711.15621,7831,0.113969848,133.775136,-25.274398
Austria,4535.538171,7.898568968,35824.26105,1199,0.033468939,14.550072,47.516231
Azerbaijan,1711.800456,7.201296635,12327.18286,37,0.003001497,47.576927,40.143105
Burundi,21.66104507,6.357582714,137.7118857,2,0.014523075,29.918886,-3.373056
Belgium,3844.001728,10.21473594,39265.46259,1050,0.026741058,4.469936,50.503887
Burkina Faso,46.7533989,10.84844663,507.2017529,54,0.106466509,-1.561593,12.238333
Bulgaria,1635.575181,8.123002349,13285.78104,106,0.007978455,25.48583,42.733883
Bahrain,383.9641724,0.655709,251.7687635,27,0.107241262,50.637772,25.930414
Bosnia and Herzegovina,280.8577456,3.881185206,1090.060927,40,0.036695197,17.679076,43.915886
Belarus,1413.568665,9.516523889,13452.25996,7,0.000520359,27.953389,53.709807
Bolivia,92.86328735,7.481635635,694.7692798,19,0.027347208,-63.588653,-16.290154
Brazil,580.6988953,147.7371558,85790.80317,2718,0.031681718,-51.92528,-14.235004
Brunei Darussalam,284.0819702,0.266464651,75.69780299,24,0.317050153,114.727669,4.535277
Botswana,168.5828171,1.364131968,229.9692101,74,0.321782207,24.684866,-22.328474
Canada,4232.564727,28.03785494,118672.0358,5295,0.044618768,-106.346771,56.130366
Switzerland,4466.406331,6.947240444,31029.19871,1928,0.062135024,8.227512,46.818188
Chile,417.7330061,13.71457221,5729.029475,707,0.123406591,-71.542969,-35.675147
China,947.7082989,1104.338254,1063164.821,25993,0.024448702,104.195397,35.86166
Cote d'Ivoire,67.65146637,14.18749229,959.8046572,36,0.037507632,-5.54708,7.539989
Colombia,73.63154831,33.26065657,2449.033641,435,0.17762108,-74.297333,4.570868
Cabo Verde,97.66427708,0.389432397,38.03363351,5,0.131462591,-24.013197,16.002082
Costa Rica,344.1694355,3.232669794,1112.586138,89,0.079993806,-83.753428,9.748917
Cyprus,1001.277706,0.871771032,872.884899,124,0.142057676,33.429859,35.126413
Czechia,2648.338168,10.2272304,27085.16461,706,0.02606593,15.472962,49.817492
Germany,3982.718947,79.73348571,317556.0643,7184,0.022622777,10.451526,51.165691
Denmark,6099.446635,5.235165143,31931.61041,1174,0.036766076,9.501785,56.26392
Algeria,501.6152267,26.01166638,13047.84793,199,0.015251557,1.659626,28.033886
Ecuador,139.9163678,10.82126027,1514.071433,158,0.10435439,-78.183406,-1.831239
"Egypt, Arab Rep.",604.6220154,62.84249311,37995.95484,626,0.016475438,30.802498,26.820553
Spain,2463.753301,39.620076,97614.09301,4627,0.047400942,-3.74922,40.463667
