review,label
"Coastlines globally are sensitive to the effects of sea-level rise, increased coastal storminess and changes in coastal sediment supply and sediment dynamics in the Anthropocene. Coastlines are also influenced by land use change, urbanization and development of built infrastructure. These changes can affect the dynamics of coastal landforms, weaken coastal resilience and make coasts more sensitive to climate hazards. This study critically examines the properties of coastlines that contribute to coastal biophysical resilience in South Africa, highlighting their relativerates of change and dynamic behaviour in response to physical and human forcing factors. Coastal landforms can be considered as 'green infrastructure' that can buffer the effects of climate change as well as providing ecosystem and environmental services in their own right. Viewing coastal landforms as green infrastructure provides a 'nature-based solution' to mitigate against climate change impacts that can work with - not against - the natural geomorphic, sedimentary and ecological processes of coastlines. Coastal landforms can also contribute to socioecological resilience, where they provide environmental and ecosystem services. The green infrastructure approach to coastal resilience has not been well developed in South Africa but is more effective in supporting coastal sustainable development.",1
"NOVELTY - The running gear has a mechanical leg which is provided with a Hoeken mechanism, adjusting mechanism and a walking arm (5). The two sides of a support frame are respectively provided with Hoeken mechanisms whose power input end is connected with a transmission device. The power output end of the Hoeken mechanism is connected with the walking arm. The adjusting mechanism is arranged on Hoeken mechanism and walking arm for adjusting the gesture of walking arm. USE - Running gear of terrain vehicle. ADVANTAGE - The adaptive capacity can be ensured. The simplified structure can be achieved. The light weight can be achieved. The fast moving speed and flexible steering can be achieved effectively. The stability of the walking arm on the flat motor transmission device of the power device can be ensured. DESCRIPTION Of DRAWING(S) - The drawing shows a schematic view of the running gear.Power input arm (2)Transmission arm (3)Limiting arm (4)Walking arm (5)Limited arm (7)",0
"NOVELTY - The utility model relates to the technical field of clothes nursing device, especially a clothes nursing device for drying and sterilizing the clothes, which can lower chamber observing and improves the using reliability; and the clothes fixing effect is good. dismounting more convenient, but also can adapt to different types of clothes, and it improves the adaptive capacity, comprising a body, an interior of the body is provided with the working cavity, the working cavity is provided with a clapboard, the working cavity divided into upper chamber and lower chamber, clapboard is provided with multiple groups of through holes. electric heating wire is set in the upper chamber, the main body front side face is equipped with opening, opening is provided with a baffle door, the lower chamber is provided with a fixing frame; baffle door is provided with an observation hole, observing hole is provided with a transparent baffle; fixing frame comprises a left joint plate and right joint plate, the upper connecting plate, left screw, left screw rod and right screw, a right screw rod, several sets of hooks, lower connection plate, a left limiting plate, a left spring, a left clamping plate, a right limiting plate, right spring, right and placing box.",0
"The increasing infrastructure instability is an important issue in relation to the influences of global climate change in urban areas. A serious issue pertaining to this is the dual nature of damage triggered by events combined with climate change and natural hazards. For example, catastrophic damage could result from the combination of global warming with a great earthquake, which is a worst-case scenario. Although this worst-case scenario has rarely occurred and presents a low probability of occurrence, countermeasures must be prepared in advance based on an appropriate response and adaptation strategies. After an overview of possible infrastructural instabilities caused by global warming, methodologies are proposed placing emphasis on the increasing probability of infrastructural instability triggered by natural hazards resulting from groundwater-level (GWL) variations. These effects are expected to be particularly serious in coastal regions because of the influence of the rising sea level resulting from global warming. The influence of sea-level rises (SLR) will become apparent along with land subsidence because groundwater abstraction will become severe in coastal regions. Additionally, the probability of earthquake liquefaction increases if GWL rises in accompaniment with SLR. Using case histories, we examined the possible occurrence of these natural hazards as a result of global warming. Finally, possible countermeasures and adaptation strategies for reducing and mitigating infrastructure damage accelerated by global warming are described for each case in specific regions. In particular, special attention should be paid to adaptation strategies in coastal lowlands, which particularly suffer from the effects of land subsidence.",1
"The urgency to reply to climate change requires a governance perspective that connects multiple societal levels and sectors and involves a plurality of actors. Psychologists should take an important role in addressing the ongoing climate crisis, together with other practitioners, scholars, policymakers and citizens. This systematic review aims to show the contribution psychology has offered in the governance of climate change, illustrating how psychological scholarship is positioned in the interdisciplinary discourse on climate governance and the way psychological constructs and theories are implemented. Following the PRISMA guidelines, two electronic databases (APA PsycInfo and Scopus) were screened, and 52 publications meeting the eligibility criteria were included and thoroughly analysed. The literature at the intersection between climate governance and governance is relatively scarce, yet it covers different domains and scales of analysis. Psychological contributions are always integrated into a broader interdisciplinary discourse spanning from the environmental to the social sciences, yet a scarce theoretical specificity has been documented. We found an abundance of research on the determinants of pro-environmental behaviours, which often neglects context-grounded factors, while the relational and dynamic dimensions of governance concerning group processes and collective engagement are rarely taken into due consideration. We argue that psychologists should continue engaging in interdisciplinary collaborations to collectively craft climate solutions, especially focusing on citizenry's active engagement. Deeper theoretical elaboration on the interface between governance and psychology is needed, particularly from an ecological and systemic perspective.",0
"NOVELTY - Fertilizer comprises 0.01-0.3 wt.% polypeptide, 50-98 wt.% titanium nutrient solution, 0.15-0.6 wt.% rare earth nutrient solution, 1.2-1.5 wt.% amino acid, 0.6-2.0 wt.% ammonium molybdate, 1.5-2.5 wt.% zinc sulfate and 1.5-2.5 wt.% ferrous sulfate. USE - Fertilizer for grassland. ADVANTAGE - The fertilizer is convenient to use, cost effective, has simple preparation method, reliable production increasing effect, enables to improve the grass anti-bacteria, anti-virus and pest-killing ability for pasture production of our country, grassland recovering vegetation provides excellent product, induce grass root development, forage leaf bud germination, pasture grass seed sensitivity to photosynthesis and enhanced pasture to the pest killing ability, improves forage to reverse environment adaptive capacity, improve pasture yield in unit area and quality of the product, helps in adjusting pasture growth and improving the pasture yield of the product by 25%.",0
"NOVELTY - The utility model relates to the technical field of environment-friendly equipment auxiliary device, especially refers to a kind of environment-friendly box with lifting function, it can be obtained by adjusting the height of box body to enhance the adaptive capacity of the different mounting requirements; and can be adjusted by the mounting angle regulating output pipe and the input pipe of the box body to enhance the convenience of the box body installation, comprising a box body and a mounting plate, the inside of the box body is provided with a working cavity; it further comprises a regulating plate, a left drive plate, right drive plate, two groups of front connecting rod, two groups of back connecting rod; the middle area of the left screw rod and the right screw thread rod, a connecting block, a front telescopic frame, a back bracket, two groups of front and two groups of back sliding blocks, the regulation plate is provided with an adjusting cavity; further comprising two groups of mounting block, two groups of connecting piece, two groups of telescopic threaded rod, two groups of adjusting rod, supporting column, a rotary column and two groups of adjusting ring, two groups of the adjusting rod are respectively provided with two groups of telescopic cavity, the bottom end of the two groups of adjusting ring are respectively provided with two groups of annular block.",0
"NOVELTY - The method involves injecting organic wastewater into adjusting tank, maintaining the organic wastewater in the tank for 12-24h, and connecting wastewater adjusting tank lifting pump to a coagulative precipitation tank. The downward carbon bed flow is removed through bottom perforated collecting filtered water outlet. The wastewater mixed with oxidizer in the tower is fully reacted by a pH automatic adjusting system. The hydrogen peroxide and ferrous ion are added in a molar ratio of 10:1. The fine suspended water aeration is carried out for 30 min. USE - High concentration organic wastewater processing method. ADVANTAGE - The wastewater processing efficiency is high, strong adaptive capacity of wastewater concentration change is achieved, the processing effect is high, and continuous and stable operation is realized. DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for a high concentration organic wastewater processing system. DESCRIPTION Of DRAWING(S) - The drawing shows a flowchart of the high concentration organic wastewater processing method. (Drawing includes non-English language text)",0
"Trees participate in mitigating the urban heat island phenomenon thanks to their transpiration and shading. This cooling potential is highly dependent on leaf area. Nevertheless, leaf traits potentially vary across different land management practices in urban settings, thereby challenging the models used to estimate thermal budgets. The present study aims to investigate the variability of leaf area traits of linden (Tilia spp.) urban trees, and their effect on simulated tree transpiration. Reconstruction of the leaf area was undertaken at the tree scale at three different urban land management sites from three cities: London and Birmingham (UK) and Chantilly (France). The reconstruction combined allometric measurements at shoot and leaf scales, and a tree-scale 3D digitization with laboratory analysis using field data collected by citizen scientists. The management practices had a significant impact on leaf area, and on tree allometric relationships, which were propagated through the reconstruction process. Relative differences between the management practices ranged between 12% and 48% according to the city where the variable was considered (e.g., leaf area index, total leaf area, or tree transpiration). Trees in managed sites (i.e., individualized leaf crowns, frequent leaf litter removal, and standard thinning/pruning operations) develop a higher leaf area, thus promoting cooling potential. This study shows that the variability of leaf traits, and their responses to different land management, can be studied by comprehensive data collection through citizen science and lab-based modelling. It also highlights the importance of appropriate, well-designed urban planning, where landscaping using urban trees can play an even better role in climate proofing cities.",1
"Background and Purpose: Physical therapists seek to optimize movement as a means of reducing disability and improving health. The short-term effects of interventions designed to optimize movement ultimately are intended to be adapted for use across various future patterns of behavior, in potentially unpredictable ways, with varying frequency, and in the context of multiple tasks and environmental conditions. In this perspective article, we review and discuss the implications of recent evidence that optimal movement variability, which previously had been associated with adaptable motor behavior, contains a specific complex nonlinear feature known as multifractality.Summary of Key Points: Multifractal movement fluctuation patterns reflect robust physiologic interactivity occurring with in the movement system across multiple time scales. Such patterns provide conceptual support for the idea that patterns of motor behavior occurring in the moment are inextricably linked in complex, physiologic ways to patterns of motor behavior occurring over much longer periods. The human movement system appears to be particularly tuned to multifractal fluctuation patterns and exhibits the ability to reorganize its output in response to external stimulation embedded with multifractal features.Recommendations for Clinical Practice: As a fundamental feature of human movement, multifractality opens new avenues for conceptualizing the link between physiologic interactivity and adaptive capacity. Preliminary evidence supporting the positive influence of multifractal rhythmic auditory stimulation on the gait patterns of individuals with Parkinson disease is used to illustrate how physical therapy interventions might be devised to specifically target the adaptive capacity of the human movement system.",0
