label,review
1,"Over the past decades, the cost-effectiveness principle or a cost benefit analysis has typically been employed as an assessment tool for the expansion of drinking water utilities. With changing public awareness of the inherent linkages between greenhouse gas emissions and climate change, the addition of this new consideration in the assessment regime has altered the landscape of the traditional evaluation matrix. This paper presents a comparative evaluation based on a suite of carbon footprint and cost data associated with 20 expansion alternatives for a systematic priority analysis of a drinking water infrastructure system in South Florida. (C) 2012 Elsevier Ltd. All rights reserved."
1,"Morocco is a water-scarce developing country with a growing marketable agro-food industry, where untreated or insufficiently treated wastewater represents less than 1% of the irrigation water and treated wastewater reuse is virtually nil. The Government of Morocco is planning to increase the volume of treated wastewater reuse for irrigation agriculture under the current permissive regulation to alleviate the pressure on conventional water sources. However, the reuse of insufficiently treated wastewater implies environmental and human health risks besides the degradation of land and renewable natural resources. This paper shows the feasibility of increasing wastewater reuse for irrigation agriculture in Morocco and how the existing permissive regulation must be improved to force more efficient technologies aimed at ensuring the export of agricultural goods to the most restrictive international markets. The results show how the quality standards of Moroccan regulation are below that of their equivalents in developed countries, as well as in most of the consulted developing countries. After verifying that tertiary treatment is financially feasible, the updated regulation must also consider climatic water scarcity and the locally low cultural perception of environmental and human health risks in order to design optimal solutions."
0,"Here we report the results of our decades-long study on epiphytic communities from two tributary systems of the Szigetkoz section of the Danube River. The main goal of the investigation was to detect changes in the epiphytic communities at structural (core species, changes in the relative abundance of common species) and functional (trait changes) levels as a result of the most important anthropogenic effects on Szigetkoz, i.e., hydro-morphological modifications. We also examined the impact of rehabilitation on the tributary systems in terms of ecological potential. We discovered that mainly motile diatom species characterized the epiphyton due to reduced water volume were introduced into the tributary system after the diversion of the Danube. The ecosystem stabilized in the rehabilitated section, while the non-rehabilitated section showed a worsening tendency, mainly in the parapotamic branches. Our long-term data sets may provide a good basis for comparisons of different aquatic ecosystems, to define changes in the abundance of core species and in the structure of community in response to different anthropogenic pressures. It is fundamental to determine adaptive traits in assessing the impact of global warming stressors on biodiversity."
1,"This paper investigates the ecological-economic sustainability of coral reef socio-ecological systems under fishing and environmental pressures. To achieve this, a dynamic, spatially explicit, multi-species, multi-fleet fisheries model is developed. Stochastic environmental shocks are assumed to alter coral cover and consequently the entire coral reef social-ecological system. The model is calibrated using ecological, socio-economic and environmental data in French Polynesia. Four exploratory fishing strategies and a goal-seeking strategy entitled Stochastic Multi-Species Maximum Sustainable Yield (SMMSY) are compared in terms of ecological-economic outcomes and sustainability of the socio-ecological system. The SMMSY turns out to promote ecological-economic sustainability. It is characterised by a global increase in fishing effort pointing to the relative current under-exploitation of the fishery. SMMSY balances the trophic level of catches after natural shocks and sustains the fundamental herbivore grazing process. SMMSY strategies are also more diversified in terms of temporality, gears, spatial distribution of fishing and target species."
1,"Background: Lyme borreliosis caused by spirochetes of the Borrelia burgdorferi (sensu lato) complex is still the most common tick-borne disease in Europe, posing a considerable threat to public health. The predominant vector in Europe is the widespread hard tick Ixodes ricinus, which also transmits the relapsing fever spirochete B. miyamotoi as well as pathogenic Rickettsiales (Anaplasma phagocytophilum, Rickettsia spp.). To assess the public health risk, a long-term monitoring of tick infection rates with the named pathogens is indispensable. Methods: The present study is the first German 10-year follow-up monitoring of tick infections with Borrelia spp. and co-infections with Rickettsiales. Furthermore, a specific Reverse Line Blot (RLB) protocol for detection of B. miyamotoi and simultaneous differentiation of B. burgdorferi (s.l.) geno-species was established. Results: Overall, 24.0% (505/2100) of ticks collected in the city of Hanover were infected with Borrelia. In detail, 35. 4% (203/573) of adult ticks [38.5% females (111/288) and 32.3% males (92/285)] and 19.8% nymphs (302/1527) were infected, representing consistent infection rates over the 10-year monitoring period. Geno-species differentiation using RLB determined B. miyamotoi in 8.9% (45/505) of positive ticks. Furthermore, a significant decrease in B. afzelii and B. spielmanii infection rates from 2010 to 2015 was observed. Co-infections with Rickettsia spp. and A. phagocytophilum increased between 2010 and 2015 (7.3 vs 10.9% and 0.3 vs 1.1%, respectively). Conclusions: Long-term monitoring is an essential part of public health risk assessment to capture data on pathogen occurrence over time. Such data will reveal shifts in pathogen geno-species distribution and help to answer the question whether or not climate change influences tick-borne pathogens."
1,"Previous dendroclimatical studies have been based on the relationship between tree growth and instrumental climate data recorded at lower land meteorological stations, but the climate conditions somehow differ between sampling sites and distant population centers. Thus, in this study, we performed a comparison between the 152-year reconstruction of June to July mean air temperature on the basis of interpolated meteorological data and instrumental meteorological data. The reconstruction explained 38.7% of the variance in the interpolated temperature data (37.2% after the degrees of freedom were adjusted) and 39.6% of the variance in the instrumental temperature data (38.4% after adjustment for loss of degrees of freedom) during the period 1962-2013 AD. The first global warming (the 1920s) and recent warming (1990-2013) found from the reconstructed temperature series match reasonably well with two other reported summer temperature reconstructions from north-central China. Cold periods occurred three times during 1866-1885, 1901-1921, and 1981-2000, while hot periods occurred four times during 1886-1900, 1922-1933, 1953-1966, and 2001-2007. The extreme warm (cold) years are coherent with the documentary drought (flood) events. Significant 31-22-year, 22-18-year, and 12-8-year cycles indicate major fluctuations in regional temperatures may reflect large-scale climatic shifts."
1,"Increases in frequency of anthropogenic and natural disturbances exacerbated by climate change are disrupting animal movement patterns and, in turn, species distribution and abundance. Habitat models are a valuable approach for predicting how a species or population is distributed across habitats. However, in these models, the environmental characteristics describing habitat are typically constant over time which is inaccurate for a frequently disturbed landscape. The goal of this study is to assess the degree to which frequent disturbances can alter abundance and distribution, to the point of which inferences from static habitat maps are no longer relevant. We simulated individual animal movement in a dynamically disturbed landscape and compared the observed spatial relative abundance to the one predicted from a static habitat model fit to the simulated trajectories. We found that the prediction error is higher when the landscape is disturbed than where there are no disturbances. This result holds even with the addition of life-history and demographic processes to the model which would facilitate the discovery of novel habitat by increasing density-dependent movement, thereby bringing the spatial distribution of individuals closer to a proportion of habitat quality arising from the population at equilibrium assumption underlying most habitat models. In the context of species at risk recovery planning, using habitat models with constant environmental covariates to forecast animal locations in areas with more frequent disturbances as a result of climate change will likely produce inaccurate predictions."
1,"Drought is primarily considered as a natural hazard which is a resultant phenomenon of less rainfall. When an agricultural area constantly received low rainfall during the sowing and growing season of crop, the soil moisture of the cropland goes down and the crop began to wilt, the situation is known as agricultural drought. Present study, used the multi-temporal Sentinel 1 SAR and Landsat optical data to assess the agricultural drought in the part of Odisha state. Initially, to establish the methodology, correlation between NDVI and SAR backscattering has been carried out for the demarcated agricultural landscape of MODIS images derived landcover map of 2019. The drought assessment has been carried out for the month of Jun-July of 2020 and 2021 which is the kharif crop growing season. Thereafter, the backscattering vale range has been identified as a threshold value to delineate the agricultural drought affected areas from other SAR images of various vintages. The study area was more affected by the drought in 2020 compared to 2021. In this study, it is observed that although the area is drought affected, received less rainfall, but due to location in coastal region this area is mostly under cloud cover, therefore, it is very difficult assess the agricultural drought using optical remote sensing data. SAR data is also sensitive to soil moisture condition; therefore, it can be potentially to be used for drought assessment for the coastal agricultural area. (c) 2022 COSPAR. Published by Elsevier B.V. All rights reserved."
1,"As permafrost thaws in the Arctic, new subsurface pathways open for the transport of groundwater, energy, and solutes. We identify different ways that these subsurface changes are driving observed surface consequences, including the potential for increased contaminant transport, modification to water resources, and enhanced rates of infrastructure (e.g. buildings and roads) damage. Further, as permafrost thaws it allows groundwater to transport carbon, nutrients, and other dissolved constituents from terrestrial to aquatic environments via progressively deeper subsurface flow paths. Cryohydrogeology, the study of groundwater in cold regions, should be included in northern research initiatives to account for this hidden catalyst of environmental and societal change. the underpinnings of many of these water-related changes lie beneath the depths of these investigations. Thawing of ancient permafrost is opening new subsurface pathways for groundwater flow (Walvoord and Kurylyk, 2016), thereby altering fluxes and distribution of water, energy, and solutes that can be observed at the Earth's surface. Scientific advances in predicting future climate change require integration of subsurface processes within a broader understanding of change in the Arctic, herein broadly defined to include Arctic and subarctic regions. We argue that groundwater is a catalyst of change in Arctic regions, and we call for a more prominent inclusion of cryohydrogeology, the study of groundwater in cold regions, in transdisciplinary research initiatives."
1,"Surface water is the most dynamic land-cover type. Transitions between water and nonwater types (such as vegetation and ice) can happen momentarily. More frequent mapping is necessary to study the changing patterns of water. However, monitoring of long-term global water changes at high spatial resolution and in high temporal frequency is challenging. Here we report the generation of a daily global water map data set at 500-m resolution from 2001 to 2016 based on the daily reflectance time series from Moderate Resolution Imaging Spectroradiometer. Each single-date image is classified into three types: water, ice/snow, and land. Following temporal consistency check and spatial-temporal interpolation for missing data, we conducted a series of validation of the water data set. The producer's accuracy and user's accuracy are 94.61% and 93.57%, respectively, when checked with classification results derived from 30-m resolution Landsat images. Both the producer's accuracy and user's accuracy reached better than 90% when compared with manually interpreted large-sized sample units (1,000mx1,000m) collected in a previous global land cover mapping project. Generally, the global inland water area reaches its maximum (similar to 3.80x10(6)km(2)) in September and minimum (similar to 1.50x10(6)km(2)) in February during an annual cycle. Short-duration water bodies, sea level rise effects, different types of rice field use can be detected from the daily water maps. The size distribution of global water bodies is also discussed from the perspective of the number of water bodies and the corresponding water area. In addition, the daily water maps can precisely reflect water freezing and help correct water areas with inconsistent cloud flags in the MOD09GA quality assessment layer. Plain Language Summary Daily global inland surface water maps are produced from more than 1.9 million frames of satellite images for the period of 2001-2016 with a spatial resolution of 500m. From this time series of maps, we found that the inland surface water on Earth varies greatly in area within an annual cycle. It can reach more than 3.8 million square kilometers in September and reduce to approximately 1.5 million square kilometers in February. We demonstrate that (1) short-duration water bodies in arid areas, which are particularly important to life, can be detected from these daily water maps; (2) sea level rise effects on land submersion can be detected over some gentle-slope coasts like west Florida; and (3) different types of rice field use exist in the world. For example, in California, United States, rice fields are filled with water after harvest to help create a wetland environment for wild birds in the winter."
