review,label
"Assessing the extent to which all bio-fuels that are claimed to be renewable are in fact renewable is essential because producing such renewable fuels itself requires some amount of non-renewable energy (NE) and materials. Using hybrid life cycle analysis (LCA)-from raw material collection to delivery of pellets to end users-the energy cost of wood pellet production in China was estimated at 1.35 J/J, of which only 0.09 J was derived from NE, indicating that only 0.09 J of NE is required to deliver 1 J of renewable energy into society and showing that the process is truly renewable. Most of the NE was consumed during the conversion process (46.21%) and delivery of pellets to end users (40.69%), during which electricity and diesel are the two major forms of NE used, respectively. Sensitivity analysis showed that the distance over which the pellets are transported affects the cost of NE significantly. Therefore the location of the terminal market and the site where wood resources are available are crucial to saving diesel.",1
"Since the official submission of the National Determined Contributions (NDCs) under the Paris agreement framework, a set of studies attempted to assess the energy and economic impacts on NDCs by using large-scale energy-economy models, both at the national and global level. This paper presents a novel approach to quantify policy impacts of NDCs, by combining a set of technology-rich country-level models for major economies with an economy-wide global CGE model. The methodology enhances the credibility of global model-based scenarios, by complementing it with detailed representation of country-level policy priorities and structural heterogeneities, captured by national-level models. It also improves the consistency between national short-to-medium term policy plans with global long-term climate objectives. Results indicate that energy efficiency improvements and increased penetration of RES are the main contributors to emission reduction induced by NDCs. The role of emission reduction options differentiates by country, depending on national socio-economic objectives, energy resource endowment and climate policy ambition. The Paris pledges are found to be consistent with robust economic growth both in developed and in emerging economies. NDCs result in a more labour-intensive economy driven by RES expansion, while major clean energy manufacturers (EU, China) have the potential to improve their balance of trade.",1
"An auxiliary coordinated control approach focusing on transient voltage stability is proposed in this paper. The concept is based on support vector machine (SVM) classifier and multiple-input and multiple-output (MIMO) model predictive control (MPC) on the high penetration renewable power system. To achieve the objective, the voltage stability condition of the power system is predicted by the SVM classifier first, using measured synchrophasor data in the power system. Next, the control strategy is triggered by the prediction results. The designed auxiliary MPC strategy will augment the existing control variables aiming to keep transient voltage stability. To validate the proposed approach, the Kundur two-area power system with a wind plant is built and the numerical results demonstrate the feasibility, effectiveness and accuracy of the proposed method.",1
"The paper presents several power quality issues in an islanded microgrid, regarding the frequency regulation. A load-frequency control technique has been implemented, which consists in a special device, named dump load (DL) that draws the extra power from the generators, transforming it into heat through a power electronics device. This paper compares more DL topologies from the power quality point of view, and suggests a new DL configuration developed by the authors. The simulations and experimental results show the effectiveness of the solution.",0
"Phasing out the use of coal for power generation is an important concern for energy policy in the context of green transition. Despite the efforts of other nations, the role of China in the global phase-out of coal power remains crucial. Our study with a sub-national focus sheds important new light on the drivers and decision-making dynamics of exiting of coal power use in China. Based on a case study of closures of coal power plants in China's Guangdong province, we find that under certain circumstances, governments - especially those in the provincial and city levels - can and do act as change agents when it comes to retirement of coal fired power stations. Our study reveals a number of push and pull mechanisms that governments have utilized to overcome the resistance of incumbent power generation companies, primarily based on developmental considerations. By identifying the drivers and enabling mechanisms of phasing out the use of coal power in a significant sub-national region in China, our study contributes to both of the sustainability transition literature and the energy policy literature.",1
"Intensive extraction of forest resources lowers biodiversity and endangers the functioning of forest ecosystems. As such, alternative management regimes have emerged, aspiring to promote forest biodiversity and nature protection in managed forests. Among them, continuous cover forestry, (i.e. selective logging), has received considerable attention and is being promoted by some researchers and NGOs. Yet, the full consequences of banning clear-cuts (i.e. rotation forestry) and replacing it entirely with continuous cover forest remains uncertain. We explore how restricting forest management alternatives (either rotation forestry or continuous cover forestry) will affect landscape-scale forest multifunctionality at a range of harvesting levels. We evaluate multifunctionality as a combination of recreational ecosystem services, climate change mitigation, habitat availability for vertebrates, and red-listed dead wood dependent species. Our results show that restricting forest management alternatives have a negative impact on forest multifunctionality at all harvesting levels when compared to the case with no restrictions. Using only continuous cover forestry management alternatives resulted in higher multifunctionality than the case when only rotation forestry management alternatives were used. We also show that maximizing multifunctionality using all management alternatives led to high proportion of continuous cover forestry over the landscape. We conclude that banning clear-cuts does not promote forest biodiversity and multifunctionality at the landscape scale, especially if there is a requirement for high economic benefits from the forest. However, we recommend that continuous cover forestry should be considered as a primary management alternative, with selective application of rotation forestry wisely planned at the landscape scale.",1
"This paper examines the drivers of private investment in renewable energy by source of financing for 13 economies over the period 2008-2018, with a focus on a sub-panel of Asian economies. Sources of financing - asset finance, corporate research and development (R&D), public market, and venture capital and private equity - vary not only across years and renewable energy sources, but also across countries. Using a fixed effects panel model, this paper provides a first quantitative estimate of the effect of government renewable energy policies on private investment across different sources of financing, with four main findings. First, while government expenditure on R&D positively affects private investment from asset finance and corporate R&D, it is not the most important driver in terms of the magnitude of the elasticity. Second, feed-in tariffs have a particularly strong effect on stimulating renewable energy investment financed through public markets, with the findings particularly strong for the Asian sub-sample. Third, tax incentives have a mixed impact across sources of financing. Fourth, technology costs and energy prices have considerable effects on driving renewable energy investment from asset finance, with the impact notably more pronounced for the Asian sub-sample. Key policy insights To maximize the impact of government R&D, policies should aim to facilitate a smoother investment environment for the private sector in the areas of asset finance and corporate R&D. This could include targeted subsidies and tax relief measures. Enhanced FIT mechanisms should be developed, particularly in Asia, to leverage greater investment financed via publicly quoted markets. This could also include more favourable initial fiscal incentives and terms of agreement. Tax incentives should be used with caution. While tax incentives have a positive effect on investment in renewable energy overall, they may negatively affect investment financed by corporate R&D and venture capital and private equity, i.e. private financing sources that are crucial for technology R&D and manufacturing scale-up. Countries with lower regulatory quality may need to offer higher FIT rates for policies to be effective in attracting private investment.",1
"In recent years, the increasing number of natural disasters has raised concerns about the sustainability of our planet's future. As young people comprise the generation that will suffer from the negative effects of climate change, they have become involved in a new climate activism that is also gaining interest in the public debate thanks to the Fridays for Future (FFF) movement. This paper analyses the results of a survey of 1,138 young people in a southern Italian region to explore their perceptions of the extent of environmental problems and their participation in protests of green movements such as the FFF. The statistical analyses perform an ordinal classification tree using an original impurity measure considering both the ordinal nature of the response variable and the heterogeneity of its ordered categories. The results show that respondents are concerned about the threat of climate change and participate in the FFF to claim their right to a healthier planet and encourage people to adopt environmentally friendly practices in their lifestyles. Young people feel they are global citizens, connected through the Internet and social media, and show greater sensitivity to the planet's environmental problems, so they are willing to take effective action to demand sustainable policies from decision-makers. When planning public policies that will affect future generations, it is important for policymakers to know the demands and opinions of key stakeholders, especially young people, in order to plan the most appropriate measures, such as climate change mitigation.",1
"As China's economy has transitioned, the energy industry has developed rapidly. The government is promoting a revolution in energy production and consumption and building a green, low-carbon, safe and efficient energy system. The high-quality development of green energy has become an essential part of high-quality economic development. This paper constructs a high-quality green energy development indicator system from three aspects: green energy production, green energy output and pollution output. Then, the entropy weight method is used to measure the high-quality development level of inter-provincial green energy in China from 2010 to 2018. Moreover, the characteristics of regional differences and time evolution are deeply analyzed. Based on this, the impact of sports industry agglomeration on the high-quality development of green energy is verified. The results show that the aggregation of the sports industry can increase the level of high-quality development of green energy, and different regions have heterogeneous characteristics. Finally, based on the research conclusions, this paper puts forward some policy recommendations for promoting high-quality energy development in China.",1
"We explore the implications of an increase in clean technology spillovers between developed and developing countries. We build a game of abatements in which players are linked with technology spillovers determined by an initial choice of absorptive capacities by developing countries. We show that, within a non-cooperative framework, the response of clean technology investments in developed countries to an increase in cross-country technology spillovers is ambiguous. If the marginal benefits of these additional abatements are not sufficiently high, developed countries have a strategic incentive to decrease investments. Such a strategic response jeopardizes the initial effects of an increase in technology spillovers on climate change mitigation and decreases the incentives for developing countries to enhance their absorptive capacities.",1
